handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_ca2a46d3-6fe3-c60b-638c-ca0caf546542,Product,VISCOSITY Extract Liquifier,"<p><strong><em>NOT to be used with CBD Isolate</em></strong></p><p><strong>VISCOSITY Extract Liquifier</strong>&nbsp;is the original flavorless odorless extract diluent made from a blend of 100% organic terpenes.</p><p>It&nbsp;<strong><em>does not</em></strong>&nbsp;contain PG, VG, PEG, MCT, Coconut oil, or any other non-terpene ingredients. Create a better product.&nbsp;<strong>NOT to be used with CBD Isolate</strong></p>",5cb354_80927aeaaee442ad84611ceaef4cd73d~mv2.jpg,Custom Blend;test collection,,,20,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_ca2a46d3-6fe3-c60b-638c-ca0caf546542,Variant,,,,,,,,135,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_622b830f-90f3-2e9b-8ae2-0a330aa1acf0,Product,Linalool  1 oz,"<p>Linalool is a floral terpene with spicy overtones and an aroma reminiscent of lavender and lily of the valley. Strains known for their content of Linalool include UK Cheese, Chemdawg, and Skywalker OG. Isolated Linalool can be naturally sourced from a variety of plants, most commonly those in the mint family (Lamiaceae), the laurel family (Lauraceae), and the citrus fruits family (Rutaceae).</p>",5cb354_687110dfbd094e6bb4de57928022b4b3~mv2.jpg,Isolate;test collection,,,28,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3879b14b-4311-7343-a465-68840eef5ba6,Product,Alpha Pinene  1 oz,"<p>Alpha Pinene is an earthy, piney, herbal terpene with a sharp pine and cedarwood flavor. Strains known for their content of Alpha Pinene are Blue Dream, Jack Herer, and Og Kush. Isolated Alpha Pinene is sourced from conifer trees, herbs such as rosemary and sage, and found in some varieties of citrus. Alpha Pinene is known for its uplifting and energizing effects.</p>",5cb354_473b939742364e769372d24c8599400d~mv2.jpg,Isolate;test collection,,,11,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_aa778a61-c9f5-78ab-8f73-725640b01b53,Product,Myrcene  1 oz,"<p>Myrcene is an earthy, citrusy terpene with an aroma suggestive of hops, cloves, and tropical fruits. Nuances of mint and mango are often detected in Myrcene’s strong fragrance. Strains known for their content of Myrcene include Phantom OG, Afghani, Bubble Gum, White Widow, Skunk #1, El Nino, Himalyan Gold, and Pure Kush. Isolated Myrcene can be naturally sourced from hops (Humulus lupulus), thyme (Thymus vulgaris), lemongrass (Cymbopogon citratus), mangoes (Mangifera indica), basil (Ocimum basilicum), and bay laurel leaves (Laurus nobilis). Myrcene is the most prevalent terpene naturally found in most varieties of cannabis. The cannabinoid THC works synergistically with Myrcene to create a stronger experience.</p><p>&nbsp;</p><p>&nbsp;</p>",5cb354_c701eff615ed49938fb64c37542fc91e~mv2.jpg,Isolate;test collection,,,25,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b39d1a08-767d-f2a2-7947-171cbd3feed8,Product,Limonene  1 oz,"<p>&nbsp;</p><p>Limonene is a citrusy terpene with fresh, sweet aroma. Strains known for their content of Limonene include Mendocino Purps, The White, and Super Lemon Haze. Isolated Limonene can be naturally sourced from a variety of citrus fruits, including grapefruit, lime, lemon, and orange.</p><p>&nbsp;</p>",5cb354_64ce9f2e98414d939ba9ed72bab8faf4~mv2.jpg,Isolate;test collection,,,14,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a51ed2ce-64d6-117a-85c5-1246ac0b50df,Product,Beta Caryophyllene  1 oz,"<p>&nbsp;</p><p>Beta Caryophyllene is a distinctively spicy-sweet terpene with a woody, clove-like aroma. Hash Plant is an example of a cannabis strain particularly high in Beta Caryophyllene. Isolated Beta Caryophyllene can be naturally sourced from black pepper (Piper nigrum), black caraway (Nigella sativa), cloves (Syzygium aromaticum), hops (Humulus lupulus), basil (Ocimum basilicum), and oregano (Origanum vulgare). Beta Caryophyllene is a particularly notable terpene due to its title as the only phytocannabinoid outside of the cannabis genus. In other words, it is a terpene that emulates the behavior of a cannabinoid.</p>",5cb354_34f9453396ba4b76a0a2dd3bc312e5e6~mv2.jpg,Isolate;test collection,,,23,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f6b88e94-9213-337a-3ad0-e6730458431f,Product,Watermelon,"<p>Although this strain is 80% indica, it is reported to provide energetic, uplifting, and euphoric feelings. The aroma is described at sweet and earthy, and the watermelon flavor also has hints of berry/grape.</p><p><strong>FRAGRANCE:</strong>&nbsp;Hashy, fruity, earthy</p><p><strong>EFFECT:</strong>&nbsp;Very soothing, muchie inducing, couch lock</p><ul>	<li>Beta Caryophyllene</li></ul><ul>	<li>Myrcene</li>	<li>Limonene</li>	<li>Humulene</li>	<li>Alpha Pinene</li>	<li>Beta Pinene</li>	<li>Linalool</li>	<li>Fenchol</li>	<li>Nerolidol</li>	<li>Terpineol</li>	<li>Valencene</li>	<li>Alpha Bisabolol</li>	<li>Caryophyllene Oxide</li>	<li>5 MORE TERPENES</li></ul>",5cb354_88d7a36859f64598a00adf92b7c134b8~mv2.jpg,Custom Blend;test collection,,,30,,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,2 ML;15 ML;30 ML,,,,,,,,,,,,,,,,Instructions,"<p><strong>INSTRUCTIONS FOR USE:</strong></p>

<p>Terpenes must be diluted prior to use for flavor and effect (1-5% by total volume - Ex: 2 drops per gram). Terpenes are oil soluble and mix well with plant extracts, coconut oil, and more.</p>

<p><strong>HANDLE WITH CARE - KEEP AWAY FROM CHILDREN.</strong></p>

<p>Can cause skin irritation, do not ingest PRIOR to dilution.</p>
",,,,,,,,,,,,,,,,
product_f6b88e94-9213-337a-3ad0-e6730458431f,Variant,,,,,,,,90,TRUE,,,InStock,,,,15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f6b88e94-9213-337a-3ad0-e6730458431f,Variant,,,,,,,,170,TRUE,,,InStock,,,,30 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
